id,z,x,code,key
0,0,0,1.0,walls
1,1,0,1.0,walls
2,2,0,1.0,walls
3,3,0,1.0,walls
4,4,0,1.0,walls
5,5,0,1.0,walls
6,6,0,1.0,walls
7,7,0,1.0,walls
8,8,0,1.0,walls
9,9,0,1.0,walls
10,10,0,1.0,walls
11,11,0,1.0,walls
12,12,0,1.0,walls
13,13,0,1.0,walls
14,14,0,1.0,walls
15,15,0,1.0,walls
16,16,0,1.0,walls
17,17,0,1.0,walls
18,18,0,1.0,walls
19,19,0,1.0,walls
20,20,0,1.0,walls
21,21,0,1.0,walls
22,22,0,1.0,walls
23,23,0,1.0,walls
24,24,0,1.0,walls
25,25,0,1.0,walls
26,26,0,1.0,walls
27,27,0,1.0,walls
28,28,0,1.0,walls
29,29,0,1.0,walls
30,30,0,1.0,walls
31,31,0,1.0,walls
32,32,0,1.0,walls
33,33,0,1.0,walls
34,34,0,1.0,walls
35,35,0,1.0,walls
36,36,0,1.0,walls
37,37,0,1.0,walls
38,38,0,1.0,walls
39,39,0,1.0,walls
40,40,0,1.0,walls
41,41,0,1.0,walls
42,42,0,1.0,walls
43,43,0,1.0,walls
44,44,0,1.0,walls
45,45,0,1.0,walls
46,46,0,1.0,walls
47,47,0,1.0,walls
48,48,0,1.0,walls
49,49,0,1.0,walls
50,50,0,1.0,walls
51,51,0,1.0,walls
52,0,1,1.0,walls
53,1,1,1.0,walls
54,2,1,11.0,
55,3,1,11.0,
56,4,1,11.0,
57,5,1,11.0,
58,6,1,11.0,
59,7,1,1.0,walls
60,8,1,11.0,
61,9,1,11.0,
62,10,1,11.0,
63,11,1,11.0,
64,12,1,11.0,
65,13,1,11.0,
66,14,1,11.0,
67,15,1,11.0,
68,16,1,11.0,
69,17,1,11.0,
70,18,1,11.0,
71,19,1,11.0,
72,20,1,11.0,
73,21,1,11.0,
74,22,1,11.0,
75,23,1,11.0,
76,24,1,11.0,
77,25,1,11.0,
78,26,1,11.0,
79,27,1,11.0,
80,28,1,11.0,
81,29,1,11.0,
82,30,1,11.0,
83,31,1,11.0,
84,32,1,11.0,
85,33,1,11.0,
86,34,1,11.0,
87,35,1,11.0,
88,36,1,11.0,
89,37,1,11.0,
90,38,1,11.0,
91,39,1,11.0,
92,40,1,11.0,
93,41,1,11.0,
94,42,1,11.0,
95,43,1,11.0,
96,44,1,11.0,
