x/z,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,,,,,,,,,,,,,,,,,,1
2,1,,,,,,,,,,,,1,,,,,,1
3,1,,,,,,,,,,,,1,,,,,,1
4,1,,,,,9,9,9,9,9,5,12,1,3,,,,,1
5,1,1,,,,,,,,,,,1,,,1,,,1
6,1,,,3,,,,,,,,,1,,6,1,5,6,1
7,1,,1,,,,,,,,,3,1,,,1,1,6,1
8,1,5,1,1,1,,,,,,,,1,,,1,1,5,1
9,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,5,1
10,1,,,,,9,9,9,,,,,,,,,9,5,1
11,1,,8,,,9,9,9,,,,,9,9,9,9,9,9,1
12,1,,,,,9,9,9,,1,,,9,9,9,,,,1
13,1,,,,,,,,,1,,,,,9,6,9,,1
14,1,,,1,1,2,1,1,1,1,1,2,1,1,1,1,9,,1
15,1,,1,,9,9,,9,6,1,3,,,1,1,1,9,9,1
16,1,,,,9,9,6,9,6,1,,,5,5,1,1,,,1
17,1,,1,1,9,,9,1,1,1,5,5,3,5,6,1,6,5,1
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
